id,scope,name,route,template,priority,roles,reference,status,notes
PUB-001,Public,Accueil public CNPM,/,PublicLanding,P0,Public,REF-PUB-001,Specifie,
PUB-002,Public,Presentation du CNPM,/le-cnpm,PublicContent,P1,Public,,Specifie,
PUB-003,Public,Services du CNPM,/services,PublicContent,P1,Public,,Specifie,
PUB-004,Public,Annuaire public des membres,/membres,PublicDirectory,P0,Public,,Specifie,
PUB-005,Public,Recherche et filtres annuaire,/membres/recherche,PublicDirectory,P1,Public,,Specifie,
PUB-006,Public,Vitrine publique d un membre,/membres/:slug,MemberShowcase,P0,Public,REF-PUB-006,Specifie,
PUB-007,Public,Liste des activites et projets du membre,/membres/:slug/activites,MemberShowcase,P1,Public,,Specifie,
PUB-008,Public,Detail d une realisation du membre,/membres/:slug/realisations/:id,MemberShowcaseDetail,P1,Public,,Specifie,
PUB-009,Public,Actualites CNPM,/actualites,PublicListing,P1,Public,,Specifie,
PUB-010,Public,Detail actualite,/actualites/:slug,PublicContent,P1,Public,,Specifie,
PUB-011,Public,Agenda et evenements,/agenda,PublicListing,P1,Public,,Specifie,
PUB-012,Public,Demande d adhesion publique,/adhesion,PublicForm,P0,Prospect,,Specifie,
PUB-013,Public,Confirmation demande adhesion,/adhesion/confirmation,PublicConfirmation,P0,Prospect,,Specifie,
PUB-014,Public,Contact CNPM,/contact,PublicForm,P1,Public,,Specifie,
PUB-015,Public,Verification publique d un recu,/verification/:code,PublicVerification,P0,Public,,Specifie,
PUB-016,Public,Mentions legales et confidentialite,/legal/:document,PublicContent,P1,Public,,Specifie,
AUTH-001,Authentification,Connexion administration / membre,/auth/login,AuthSplit,P0,Tous,REF-AUTH-001,Specifie,
AUTH-002,Authentification,Saisie du code 2FA,/auth/verify,AuthSplit,P0,Tous,REF-AUTH-001,Specifie,
AUTH-003,Authentification,Choix de methode 2FA,/auth/verify/method,AuthCentered,P0,Tous,,Specifie,
AUTH-004,Authentification,Mot de passe oublie,/auth/forgot-password,AuthCentered,P0,Tous,,Specifie,
AUTH-005,Authentification,Reinitialiser le mot de passe,/auth/reset-password,AuthCentered,P0,Tous,,Specifie,
AUTH-006,Authentification,Activation du compte,/auth/activate,AuthCentered,P0,Tous,,Specifie,
AUTH-007,Authentification,Enrolement TOTP / passkey,/auth/2fa-enrollment,AuthCentered,P1,Tous,,Specifie,
AUTH-008,Authentification,Session expiree / acces refuse,/auth/session-ended,AuthCentered,P0,Tous,,Specifie,
BO-001,Back-office,Tableau de bord operationnel,/admin/dashboard,AdminDashboard,P0,"Direction, Finance, Recouvrement",REF-BO-001,Specifie,
