Story ID;Requirement ID;Epic;Acteur;Titre;User story;Priorité;Release;Estimation;Statut;Critère d’acceptation;Impact sécurité
US-ADM-001;ADM-001;Administration et paramétrage;Administrateur fonctionnel CNPM;Créer, modifier, désactiver et historiser chaque valeur de référentiel;En tant que administrateur fonctionnel cnpm, je veux créer, modifier, désactiver et historiser chaque valeur de référentiel. afin de sécuriser et fluidifier le processus administration et paramétrage.;Must;R1 - PoC / socle;8;À affiner;Toute modification conserve auteur, date, ancienne et nouvelle valeur.;Standard
US-ADM-002;ADM-002;Administration et paramétrage;Administrateur fonctionnel CNPM;Soumettre les changements sensibles à validation à quatre yeux;En tant que administrateur fonctionnel cnpm, je veux soumettre les changements sensibles à validation à quatre yeux. afin de sécuriser et fluidifier le processus administration et paramétrage.;Must;R1 - PoC / socle;8;À affiner;Aucune règle financière publiée sans second valideur.;Standard
US-ADM-003;ADM-003;Administration et paramétrage;Administrateur fonctionnel CNPM;Importer/exporter les référentiels en Excel avec contrôle de format;En tant que administrateur fonctionnel cnpm, je veux importer/exporter les référentiels en Excel avec contrôle de format. afin de sécuriser et fluidifier le processus administration et paramétrage.;Should;R2 - Déploiement élargi;5;À affiner;Rapport d’erreurs ligne par ligne disponible.;Standard
US-ADM-004;ADM-004;Administration et paramétrage;Administrateur fonctionnel CNPM;Versionner les barèmes et empêcher les modifications rétroactives non autorisées;En tant que administrateur fonctionnel cnpm, je veux versionner les barèmes et empêcher les modifications rétroactives non autorisées. afin de sécuriser et fluidifier le processus administration et paramétrage.;Must;R1 - PoC / socle;8;À affiner;"Une version publiée est immutable; une correction crée une nouvelle version.";Standard
US-ADM-005;ADM-005;Administration et paramétrage;Administrateur fonctionnel CNPM;Simuler l’impact d’un nouveau barème avant publication;En tant que administrateur fonctionnel cnpm, je veux simuler l’impact d’un nouveau barème avant publication. afin de sécuriser et fluidifier le processus administration et paramétrage.;Could;R3 - Innovation;3;À affiner;Le système calcule le montant projeté sur la base active.;Standard
US-MEM-001;MEM-001;Membres et entreprises;Gestionnaire des membres;Attribuer un identifiant CNPM unique non réutilisable;En tant que gestionnaire des membres, je veux attribuer un identifiant CNPM unique non réutilisable. afin de sécuriser et fluidifier le processus membres et entreprises.;Must;R1 - PoC / socle;8;À affiner;Deux comptes ne peuvent partager le même identifiant.;Standard
US-MEM-002;MEM-002;Membres et entreprises;Gestionnaire des membres;Détecter les doublons par NIF, RCCM, raison sociale, téléphone et e-mail;En tant que gestionnaire des membres, je veux détecter les doublons par NIF, RCCM, raison sociale, téléphone et e-mail. afin de sécuriser et fluidifier le processus membres et entreprises.;Must;R1 - PoC / socle;8;À affiner;Le système bloque ou soumet à arbitrage selon le score de similarité.;Standard
US-MEM-003;MEM-003;Membres et entreprises;Gestionnaire des membres;Gérer plusieurs établissements et plusieurs contacts par entreprise;En tant que gestionnaire des membres, je veux gérer plusieurs établissements et plusieurs contacts par entreprise. afin de sécuriser et fluidifier le processus membres et entreprises.;Must;R1 - PoC / socle;8;À affiner;Un contact principal et un contact financier sont identifiables.;Standard
US-MEM-004;MEM-004;Membres et entreprises;Gestionnaire des membres;Historiser tout changement de catégorie, groupement, statut ou représentant;En tant que gestionnaire des membres, je veux historiser tout changement de catégorie, groupement, statut ou représentant. afin de sécuriser et fluidifier le processus membres et entreprises.;Must;R1 - PoC / socle;8;À affiner;La timeline restitue la valeur, l’auteur, la date et le motif.;Standard
US-MEM-005;MEM-005;Membres et entreprises;Gestionnaire des membres;Gérer les fusions, changements de raison sociale et successions juridiques;En tant que gestionnaire des membres, je veux gérer les fusions, changements de raison sociale et successions juridiques. afin de sécuriser et fluidifier le processus membres et entreprises.;Should;R2 - Déploiement élargi;5;À affiner;Les liens entre entités antérieures et nouvelles restent consultables.;Standard
US-MEM-006;MEM-006;Membres et entreprises;Gestionnaire des membres;Générer une carte membre numérique avec QR sécurisé;En tant que gestionnaire des membres, je veux générer une carte membre numérique avec QR sécurisé. afin de sécuriser et fluidifier le processus membres et entreprises.;Should;R2 - Déploiement élargi;5;À affiner;Le QR ouvre une page de vérification sans exposer de données sensibles.;Standard
US-MEM-007;MEM-007;Membres et entreprises;Gestionnaire des membres;Permettre une vue consolidée groupe de sociétés;En tant que gestionnaire des membres, je veux permettre une vue consolidée groupe de sociétés. afin de sécuriser et fluidifier le processus membres et entreprises.;Could;R3 - Innovation;3;À affiner;Les soldes et contributions sont agrégés sans fusionner les comptes juridiques.;Standard
US-MEM-008;MEM-008;Membres et entreprises;Gestionnaire des membres;Exporter la fiche membre complète selon les droits;En tant que gestionnaire des membres, je veux exporter la fiche membre complète selon les droits. afin de sécuriser et fluidifier le processus membres et entreprises.;Must;R1 - PoC / socle;8;À affiner;PDF horodaté et journalisé, données masquées selon le rôle.;Standard
US-ENR-001;ENR-001;Enrôlement et adhésion;Validateur des enrôlements;Proposer des formulaires adaptatifs selon forme juridique et catégorie;En tant que validateur des enrôlements, je veux proposer des formulaires adaptatifs selon forme juridique et catégorie. afin de sécuriser et fluidifier le processus enrôlement et adhésion.;Must;R1 - PoC / socle;8;À affiner;Les champs et pièces varient automatiquement selon le profil.;Standard
US-ENR-002;ENR-002;Enrôlement et adhésion;Validateur des enrôlements;Sauvegarder un brouillon et reprendre sur un autre appareil;En tant que validateur des enrôlements, je veux sauvegarder un brouillon et reprendre sur un autre appareil. afin de sécuriser et fluidifier le processus enrôlement et adhésion.;Must;R1 - PoC / socle;8;À affiner;Le demandeur récupère son dossier après authentification OTP.;Standard
US-ENR-003;ENR-003;Enrôlement et adhésion;Validateur des enrôlements;Capturer RCCM, NIF et contacts avec contrôle de format;En tant que validateur des enrôlements, je veux capturer RCCM, NIF et contacts avec contrôle de format. afin de sécuriser et fluidifier le processus enrôlement et adhésion.;Must;R1 - PoC / socle;8;À affiner;Les formats invalides sont refusés avant soumission.;Standard
US-ENR-004;ENR-004;Enrôlement et adhésion;Validateur des enrôlements;Gérer les pièces obligatoires, facultatives et conditionnelles;En tant que validateur des enrôlements, je veux gérer les pièces obligatoires, facultatives et conditionnelles. afin de sécuriser et fluidifier le processus enrôlement et adhésion.;Must;R1 - PoC / socle;8;À affiner;La soumission est bloquée si une pièce requise manque.;Standard
US-ENR-005;ENR-005;Enrôlement et adhésion;Validateur des enrôlements;Permettre au contrôleur de demander un complément avec motif;En tant que validateur des enrôlements, je veux permettre au contrôleur de demander un complément avec motif. afin de sécuriser et fluidifier le processus enrôlement et adhésion.;Must;R1 - PoC / socle;8;À affiner;Le membre reçoit la liste exacte et une échéance.;Standard
US-ENR-006;ENR-006;Enrôlement et adhésion;Validateur des enrôlements;Tracer le consentement, la version de la politique et l’horodatage;En tant que validateur des enrôlements, je veux tracer le consentement, la version de la politique et l’horodatage. afin de sécuriser et fluidifier le processus enrôlement et adhésion.;Must;R1 - PoC / socle;8;À affiner;La preuve est exportable pour audit.;Standard
US-ENR-007;ENR-007;Enrôlement et adhésion;Validateur des enrôlements;Mesurer le taux de conversion par canal, groupement et campagne;En tant que validateur des enrôlements, je veux mesurer le taux de conversion par canal, groupement et campagne. afin de sécuriser et fluidifier le processus enrôlement et adhésion.;Should;R2 - Déploiement élargi;5;À affiner;Le tableau de bord présente les étapes d’abandon.;Standard
US-ENR-008;ENR-008;Enrôlement et adhésion;Validateur des enrôlements;Fonctionner en mode faible connectivité;En tant que validateur des enrôlements, je veux fonctionner en mode faible connectivité. afin de sécuriser et fluidifier le processus enrôlement et adhésion.;Must;R1 - PoC / socle;8;À affiner;Compression images, reprise de chargement et synchronisation différée.;Standard
US-COT-001;COT-001;Cotisations et échéanciers;Responsable financier;Générer automatiquement les appels selon l’exercice et le barème;En tant que responsable financier, je veux générer automatiquement les appels selon l’exercice et le barème. afin de sécuriser et fluidifier le processus cotisations et échéanciers.;Must;R1 - PoC / socle;8;À affiner;Chaque membre éligible reçoit un appel unique et traçable.;Standard
US-COT-002;COT-002;Cotisations et échéanciers;Responsable financier;Soumettre une campagne d’appels à simulation puis validation;En tant que responsable financier, je veux soumettre une campagne d’appels à simulation puis validation. afin de sécuriser et fluidifier le processus cotisations et échéanciers.;Must;R1 - PoC / socle;8;À affiner;Le total, les exceptions et écarts sont visibles avant émission.;Standard
US-COT-003;COT-003;Cotisations et échéanciers;Responsable financier;Émettre l’appel en PDF et via portail, e-mail, SMS ou push;En tant que responsable financier, je veux émettre l’appel en PDF et via portail, e-mail, SMS ou push. afin de sécuriser et fluidifier le processus cotisations et échéanciers.;Must;R1 - PoC / socle;8;À affiner;L’historique de diffusion indique canal, date et statut.;Standard
US-COT-004;COT-004;Cotisations et échéanciers;Responsable financier;Gérer les appels complémentaires, avoirs et annulations;En tant que responsable financier, je veux gérer les appels complémentaires, avoirs et annulations. afin de sécuriser et fluidifier le processus cotisations et échéanciers.;Must;R1 - PoC / socle;8;À affiner;Chaque correction référence l’appel initial et exige un motif.;Standard
US-COT-005;COT-005;Cotisations et échéanciers;Responsable financier;Gérer les échéanciers et paiements partiels;En tant que responsable financier, je veux gérer les échéanciers et paiements partiels. afin de sécuriser et fluidifier le processus cotisations et échéanciers.;Must;R1 - PoC / socle;8;À affiner;Le solde et la prochaine échéance sont recalculés en temps réel.;Standard
US-COT-006;COT-006;Cotisations et échéanciers;Responsable financier;Appliquer automatiquement la période de grâce et les pénalités;En tant que responsable financier, je veux appliquer automatiquement la période de grâce et les pénalités. afin de sécuriser et fluidifier le processus cotisations et échéanciers.;Should;R2 - Déploiement élargi;5;À affiner;Les règles sont versionnées et visibles dans le détail de calcul.;Standard
US-COT-007;COT-007;Cotisations et échéanciers;Responsable financier;Bloquer la modification d’un appel déjà payé sans workflow d’annulation;En tant que responsable financier, je veux bloquer la modification d’un appel déjà payé sans workflow d’annulation. afin de sécuriser et fluidifier le processus cotisations et échéanciers.;Must;R1 - PoC / socle;8;À affiner;Une opération corrective génère une écriture compensatrice.;Standard
US-COT-008;COT-008;Cotisations et échéanciers;Responsable financier;Produire une situation de compte certifiable à une date donnée;En tant que responsable financier, je veux produire une situation de compte certifiable à une date donnée. afin de sécuriser et fluidifier le processus cotisations et échéanciers.;Must;R1 - PoC / socle;8;À affiner;Le document restitue appels, paiements, soldes et ajustements.;Standard
US-PAY-001;PAY-001;Paiements et rapprochement;Comptable CNPM;Générer une référence de paiement unique et non prédictible;En tant que comptable cnpm, je veux générer une référence de paiement unique et non prédictible. afin de sécuriser et fluidifier le processus paiements et rapprochement.;Must;R1 - PoC / socle;8;À affiner;La référence permet d’identifier membre, appel et canal sans exposer d’information sensible.;Élevé
US-PAY-002;PAY-002;Paiements et rapprochement;Comptable CNPM;Recevoir les statuts des opérateurs via API sécurisée;En tant que comptable cnpm, je veux recevoir les statuts des opérateurs via API sécurisée. afin de sécuriser et fluidifier le processus paiements et rapprochement.;Must;R1 - PoC / socle;8;À affiner;Chaque callback est authentifié, idempotent et journalisé.;Élevé
US-PAY-003;PAY-003;Paiements et rapprochement;Comptable CNPM;Importer les relevés bancaires en formats configurables;En tant que comptable cnpm, je veux importer les relevés bancaires en formats configurables. afin de sécuriser et fluidifier le processus paiements et rapprochement.;Must;R1 - PoC / socle;8;À affiner;Le système détecte doublons, incohérences et lignes non imputées.;Élevé
